fieldmap_name:      	VPU29_Gap10.0mm
timestamp:          	2025-03-25_10-34-28
filename:           	2025-03-25_VPU29_Gap10.0mm_Fieldmap_X=-2_2mm_Z=-1380_1380mm_ID=5230.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap10.0mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.85
probey_temp[degC]:  	-57.47
probez_temp[degC]:  	-0.31
transd_temp[degC]:  	-0.58
room_temp[degC]:    	25.12
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------
-2.000	0.000	-1380.000	-4.8289304408e-06	-7.7192188844e-06	3.7322478128e-06
-1.000	0.000	-1380.000	-5.0266104956e-06	-8.3569315667e-06	3.4255574646e-06
0.000	0.000	-1380.000	-4.6591053028e-06	-8.8233577847e-06	4.8587306366e-06
1.000	0.000	-1380.000	-5.9012908251e-06	-7.3061286361e-06	4.0501476558e-06
2.000	0.000	-1380.000	-3.8047321057e-06	-7.6227011577e-06	4.0209458510e-06
-2.000	0.000	-1379.000	-4.3523777414e-06	-8.3640289751e-06	3.0503606819e-06
-1.000	0.000	-1379.000	-6.2225748267e-06	-8.4191568648e-06	3.8988194767e-06
0.000	0.000	-1379.000	-6.5968370828e-06	-8.8528717601e-06	4.4245590599e-06
1.000	0.000	-1379.000	-5.5415131255e-06	-7.7868550779e-06	3.4607567060e-06
2.000	0.000	-1379.000	-3.7743972027e-06	-7.8394180627e-06	4.3329196554e-06
-2.000	0.000	-1378.000	-4.4904662452e-06	-8.3958267700e-06	3.3367382833e-06
-1.000	0.000	-1378.000	-6.0422187332e-06	-8.3139606240e-06	3.8299560520e-06
0.000	0.000	-1378.000	-6.9198103502e-06	-8.0143235025e-06	4.3808991488e-06
1.000	0.000	-1378.000	-5.1943869494e-06	-7.1627399056e-06	3.8895020304e-06
2.000	0.000	-1378.000	-4.4040980321e-06	-7.7073430228e-06	3.8656550798e-06
-2.000	0.000	-1377.000	-4.7780727540e-06	-8.4101972651e-06	2.9072075803e-06
-1.000	0.000	-1377.000	-5.6252575851e-06	-8.5449777527e-06	3.6660618151e-06
0.000	0.000	-1377.000	-6.1523804364e-06	-8.5395668572e-06	3.9575800765e-06
